week_start,week_end,summary,sentiment_score,risk_score
2020-03-16,2020-03-22,"Major company-specific events: Apple closed all retail stores outside Greater China on March 13, with reopening uncertain; the company faced supply chain disruptions and weak demand due to COVID-19. Macroeconomic events: Global stock markets plunged amid pandemic fears; the Federal Reserve cut rates to near zero on March 15 and announced QE; U.S. unemployment claims surged; oil price war continued. AAPL stock fell sharply early in the week but partially recovered later.",-0.7,0.9
2020-03-23,2020-03-29,"The week marked a major turning point as the Federal Reserve announced unlimited QE and new lending facilities on March 23, sparking a massive rally. Apple's stock surged after the Fed's actions, despite ongoing COVID-19 pandemic concerns and store closures. The $2 trillion CARES Act stimulus package also boosted market sentiment.",0.7,0.6
2020-03-30,2020-04-05,"During this week, the COVID-19 pandemic continued to dominate markets, with global cases surging and widespread lockdowns. Apple announced it would extend its store closures indefinitely and faced supply chain disruptions. The U.S. reported record jobless claims, and the Federal Reserve introduced emergency lending facilities to support the economy. Despite negative news, markets rallied late in the week on hopes of stabilizing infection rates and massive fiscal stimulus, lifting AAPL along with the broader market.",0.2,0.8
2020-04-06,2020-04-12,"AAPL stock rose during the week as markets reacted to early signs of flattening COVID-19 curves in some regions and hopes of economic reopening. Company-specific events included continued strength in services revenue and supply chain recovery in China, while macroeconomic factors included massive Fed stimulus and a historic OPEC+ oil production cut agreement. However, uncertainty remained high due to rising unemployment and mixed earnings outlooks.",0.3,0.7
2020-04-13,2020-04-19,"AAPL stock was influenced by the broader market's reaction to early signs of economic reopening and optimism around potential COVID-19 treatments. Company-specific events included reports of strong iPhone SE demand and supply chain recovery in China, while macroeconomic factors included massive fiscal stimulus and Fed support, offset by rising unemployment and weak retail sales data.",0.3,0.6
2020-04-20,2020-04-26,"Apple's stock was influenced by broad market volatility due to the COVID-19 pandemic, including a historic drop in oil prices (WTI crude futures turning negative on April 20) and mixed earnings season sentiment. Company-specific events included reports of iPhone production disruptions and store closures, but also optimism around services revenue and potential product launches. The week saw a partial recovery from earlier lows as stimulus hopes and tech resilience supported prices.",-0.2,0.7
2020-04-27,2020-05-03,"AAPL reported strong Q2 earnings on April 30, beating revenue and EPS estimates despite COVID-19 headwinds, driven by services and wearables growth. The company also announced a $50 billion share buyback and raised its dividend. Macro events included ongoing pandemic uncertainty, mixed economic data, and Fed's commitment to support markets.",0.6,0.4
2020-05-04,2020-05-10,"AAPL stock was influenced by broader market optimism over gradual economic re-openings and positive earnings momentum from the previous week. Company-specific events included reports of strong iPhone demand in China and ongoing supply chain recovery. Macro events included better-than-expected U.S. jobs data and Federal Reserve support measures, though COVID-19 uncertainty persisted.",0.4,0.5
2020-05-11,2020-05-17,"AAPL stock was influenced by broader market optimism over potential COVID-19 vaccine developments and gradual economic reopenings, offset by ongoing pandemic uncertainty and weak consumer demand. Company-specific events included reports of strong iPhone SE demand and continued supply chain recovery in China, while trade tensions with China added some risk.",0.2,0.6
2020-05-18,2020-05-24,"AAPL stock rose during the week amid broader market optimism about economic reopening and vaccine progress. Company-specific events included reports of strong iPhone SE demand and continued momentum in services revenue. Macroeconomic factors included positive news on a potential COVID-19 vaccine from Moderna, massive central bank stimulus, and improving consumer sentiment. However, lingering trade tensions with China and uncertainty about the pace of recovery added some caution.",0.6,0.4
2020-05-25,2020-05-31,"AAPL stock rose during the week amid optimism about economic reopening and positive sentiment around tech stocks. Company-specific events included reports of strong iPhone demand in China and progress on Apple's transition to ARM-based Mac chips. Macro events included continued stimulus measures and improving consumer confidence data, though geopolitical tensions with China and ongoing pandemic concerns added uncertainty.",0.6,0.4
2020-06-01,2020-06-07,"AAPL stock rose sharply during the week, driven by broad market optimism over economic reopening and better-than-expected May jobs report. Company-specific events included continued strength in services revenue and anticipation of WWDC. No major negative company news.",0.8,0.3
2020-06-08,2020-06-14,"AAPL rose early in the week on broad market optimism about economic reopening and stimulus hopes, but later declined amid rising COVID-19 cases in several US states and a cautious Fed outlook. No major company-specific events were reported, but the stock was affected by tech sector rotation and profit-taking.",-0.2,0.6
2020-06-15,2020-06-21,"AAPL stock rose during the week amid optimism over economic reopening and stimulus measures, despite rising COVID-19 cases in some US states. Company-specific events included continued strength in services revenue and anticipation of the upcoming iPhone 12 launch. Macroeconomic factors included positive retail sales data and Federal Reserve announcements supporting markets.",0.6,0.4
2020-06-22,2020-06-28,"AAPL's stock was affected by rising COVID-19 cases in the US and renewed lockdown concerns, which pressured tech stocks. The company announced plans to transition Macs to its own ARM-based chips at WWDC, boosting long-term sentiment. Macroeconomic data showed mixed signals, with jobless claims remaining high but consumer confidence improving slightly.",0.2,0.6
2020-06-29,2020-07-05,"AAPL stock rose during the week, supported by positive market sentiment from better-than-expected U.S. jobs data (June nonfarm payrolls surged by 4.8 million) and ongoing optimism about economic recovery. Company-specific factors included continued strength in services revenue and anticipation of upcoming iPhone 12 launch, though no major AAPL-specific news broke. The broader market rallied, lifting tech stocks.",0.6,0.4
2020-07-06,2020-07-12,"AAPL stock rose during the week amid broad market optimism driven by strong tech sector performance and positive sentiment around economic recovery. Company-specific events included reports of strong iPhone demand in China and ongoing momentum in services revenue. Macroeconomic factors included better-than-expected U.S. jobs data and continued Federal Reserve stimulus, though rising COVID-19 cases in several states added uncertainty.",0.6,0.4
2020-07-13,2020-07-19,"Apple's stock was influenced by ongoing COVID-19 pandemic concerns, with rising cases in the U.S. potentially impacting consumer demand and retail operations. The company faced a European Union antitrust investigation into its App Store and Apple Pay practices, adding regulatory risk. Meanwhile, positive sentiment from strong Q2 earnings expectations and the upcoming 5G iPhone launch provided some support. Macroeconomic factors included mixed economic data and stimulus uncertainty.",0.1,0.6
2020-07-20,2020-07-26,"AAPL stock rose during the week amid strong earnings expectations and positive market sentiment, supported by the upcoming 4-for-1 stock split announcement on July 30. Macroeconomic factors included ongoing COVID-19 concerns and stimulus talks, but tech stocks benefited from a flight to safety and growth.",0.6,0.4
2020-07-27,2020-08-02,"AAPL reported strong Q3 earnings on July 30, beating estimates with revenue of $59.7B and announcing a 4-for-1 stock split. The results were driven by robust iPhone and Services growth, despite the pandemic. Macro events included ongoing COVID-19 concerns and a Fed meeting that maintained accommodative policy, supporting tech stocks.",0.8,0.3
2020-08-03,2020-08-09,"AAPL stock rose during the week, driven by strong Q3 earnings report (released July 30) that beat expectations, a 4-for-1 stock split announcement, and positive market sentiment toward tech stocks. Macroeconomic factors included ongoing COVID-19 pandemic concerns and stimulus talks, but tech outperformed.",0.7,0.3
2020-08-10,2020-08-16,"Apple's stock price was influenced by the announcement of a 4-for-1 stock split on August 13, which boosted investor sentiment. Additionally, strong earnings from the previous quarter and ongoing optimism about iPhone 12 launch prospects supported the stock. Macroeconomic factors included mixed U.S. jobs data and ongoing COVID-19 pandemic concerns, but overall market sentiment remained positive due to tech sector strength.",0.7,0.3
2020-08-17,2020-08-23,"AAPL's stock price rose during the week, driven by reports that the company's market capitalization approached $2 trillion, fueled by strong earnings momentum and anticipation of the upcoming iPhone 12 launch. Macroeconomic factors included continued optimism about tech stocks amid the COVID-19 pandemic, with low interest rates and fiscal stimulus expectations supporting growth stocks. No major negative company-specific events were reported.",0.7,0.3
2020-08-24,2020-08-30,"AAPL stock price surged during this week, driven by a 4-for-1 stock split effective August 28, which historically boosts retail buying and positive sentiment. The company also benefited from strong overall tech sector momentum and anticipation of the upcoming iPhone 12 launch. Macroeconomic factors included continued Federal Reserve accommodative policy and optimism around potential COVID-19 vaccine developments, though geopolitical tensions with China remained a background risk.",0.8,0.3
2020-08-31,2020-09-06,"AAPL stock experienced a significant decline during this week, driven by a broad tech sell-off and profit-taking after a strong run. On August 31, the stock split 4-for-1, which historically is a neutral event but often leads to short-term volatility. Later in the week, concerns over high valuations and a rotation out of growth stocks into value sectors weighed on AAPL. Macroeconomic factors included ongoing uncertainty about the economic recovery and U.S.-China tensions, which added to risk-off sentiment.",-0.6,0.7
2020-09-07,2020-09-13,"Apple held its 'Time Flies' event on September 15 (just after the week), but anticipation and leaks dominated sentiment. Major company-specific events included the announcement of the Apple One services bundle and new Apple Watch Series 6, but no iPhone 12 launch, disappointing some investors. Macroeconomic factors included a broad tech sell-off driven by concerns over high valuations and uncertainty about the economic recovery, as well as ongoing COVID-19 pandemic fears. The stock experienced volatility and a decline during the week.",-0.3,0.6
2020-09-14,2020-09-20,"Apple held its 'Time Flies' event on Sept 15, unveiling new Apple Watch Series 6, iPad Air, and Apple One subscription bundle, but no iPhone 12 launch disappointed some investors. The stock saw volatility amid broader tech sell-off and uncertainty over U.S. stimulus talks, Federal Reserve policy, and rising COVID-19 cases in Europe.",-0.2,0.6
2020-09-21,2020-09-27,"Apple's stock faced headwinds from a broader tech sell-off, concerns over delayed iPhone 12 launch, and uncertainty around U.S. stimulus negotiations. The company also saw a slight positive from strong iPhone 12 pre-order rumors and a general market rebound later in the week.",-0.3,0.6
2020-09-28,2020-10-04,"AAPL stock was influenced by broader market volatility due to uncertainty around the US presidential election and stimulus talks. Company-specific events included news of Apple's iPhone 12 launch delay to October 13, and a court ruling in the Epic Games antitrust case that temporarily blocked Apple from banning Unreal Engine but allowed Fortnite to remain banned. Positive sentiment from tech sector recovery and anticipation of the iPhone event offset some concerns.",0.2,0.6
2020-10-05,2020-10-11,"AAPL stock rose during the week, supported by the launch of the iPhone 12 event announcement on Oct 6, positive analyst notes on 5G cycle, and broader market optimism about fiscal stimulus talks. Macroeconomic factors included mixed jobs data but improving sentiment on a potential stimulus deal. No major negative company-specific news emerged.",0.6,0.3
2020-10-12,2020-10-18,"AAPL's stock was influenced by the launch of iPhone 12 on October 13, which was generally well-received but lacked surprise. Macroeconomic concerns included rising COVID-19 cases in the US and Europe, and uncertainty over fiscal stimulus negotiations, which weighed on broader market sentiment.",0.1,0.5
2020-10-19,2020-10-25,"AAPL's week was influenced by the launch of iPhone 12 and iPhone 12 Pro on October 23, with mixed early reviews and supply concerns. Macro events included rising COVID-19 cases in the US and Europe, renewed stimulus uncertainty, and a volatile broader market. The company reported fiscal Q4 earnings on October 29 (after the week), but anticipation and analyst commentary added to uncertainty.",-0.2,0.6
2020-10-26,2020-11-01,"AAPL reported Q4 earnings on Oct 29, beating EPS estimates but missing on iPhone revenue amid delayed iPhone 12 launch. The company did not provide Q1 guidance due to uncertainty. Macro events included rising COVID-19 cases in the US and Europe, and uncertainty ahead of the US presidential election on Nov 3, which increased market volatility.",-0.2,0.7
2020-11-02,2020-11-08,"AAPL stock rose sharply during the week, driven by a strong market rally following the U.S. presidential election on November 3, which reduced near-term political uncertainty. The company reported fiscal Q4 earnings on October 29 (just prior to the week), showing record revenue and strong iPhone sales, which continued to support positive sentiment. Additionally, positive news on COVID-19 vaccine trials from Pfizer and BioNTech on November 9 (just after the week) began to lift overall market optimism, but the main event was the election outcome and the market's relief over a divided government scenario.",0.7,0.3
2020-11-09,2020-11-15,"AAPL stock rose sharply on Nov 9 after Pfizer announced positive COVID-19 vaccine trial results, boosting market optimism and rotation into tech stocks. Later in the week, concerns over rising COVID-19 cases and potential lockdowns weighed on sentiment, but no major company-specific news. The broader market rally and tech sector strength supported AAPL.",0.6,0.4
2020-11-16,2020-11-22,"AAPL's stock price was influenced by continued positive momentum from the November 2020 vaccine announcements (Pfizer/BioNTech and Moderna), which boosted tech stocks as a reopening play. Company-specific events included reports of Apple's plans to accelerate its electric vehicle development (Project Titan) and ongoing strong iPhone 12 demand. Macroeconomic factors included optimism about a potential COVID-19 vaccine rollout and mixed economic data, but rising COVID-19 cases in the US added some uncertainty.",0.6,0.3
2020-11-23,2020-11-29,"AAPL stock was influenced by positive vaccine news and rotation into tech, but also faced profit-taking after recent highs. No major company-specific events; macroeconomic focus on COVID-19 case surges and holiday shopping expectations.",0.2,0.4
2020-11-30,2020-12-06,"AAPL's stock price was influenced by continued positive sentiment from the November rally and vaccine optimism, but faced headwinds from broader market rotation out of tech into value stocks. No major company-specific events were reported, while macroeconomic factors included mixed economic data and ongoing COVID-19 concerns.",0.2,0.4
2020-12-07,2020-12-13,"AAPL stock was influenced by ongoing COVID-19 vaccine optimism and broader market rotation out of tech into value stocks. No major company-specific events; reports of Apple's self-driving car project and potential production timeline added some positive sentiment. Macroeconomic factors included mixed jobs data and rising COVID-19 cases, but stimulus talks provided support.",0.1,0.4
2020-12-14,2020-12-20,"Apple's stock was influenced by the start of COVID-19 vaccine rollouts in the US, boosting overall market optimism, and reports of Apple's plans to produce electric vehicles (Project Titan) by 2024, which generated positive sentiment. However, concerns over new lockdowns in Europe and ongoing antitrust scrutiny added some uncertainty.",0.4,0.3
2020-12-21,2020-12-27,"AAPL stock was influenced by the broader market's reaction to a new COVID-19 variant in the UK and the signing of the US stimulus package. Company-specific news included reports of Apple's plans to produce electric vehicles by 2024, which generated positive sentiment. The stock also benefited from the holiday season demand for iPhones and other products.",0.3,0.4
2020-12-28,2021-01-03,"AAPL's stock price was influenced by the broader market rally driven by optimism over COVID-19 vaccine rollouts and the signing of the U.S. stimulus package. Company-specific events included continued strong iPhone 12 demand and reports of Apple's potential entry into the electric vehicle market, which generated investor excitement. No major negative company news emerged during the holiday-shortened week.",0.7,0.3
2021-01-04,2021-01-10,"AAPL stock rose during the first week of 2021, supported by reports of strong iPhone 12 demand and positive analyst upgrades. The broader market was buoyed by optimism over vaccine rollouts and expectations of further fiscal stimulus, though political uncertainty following the January 6 Capitol riot introduced some volatility.",0.6,0.4
2021-01-11,2021-01-17,"AAPL stock was influenced by reports of potential Apple Car development and speculation about a new product launch event. Macroeconomic factors included rising U.S. Treasury yields and mixed economic data, while COVID-19 case surges and renewed lockdowns in some regions added uncertainty. Overall, the stock saw modest gains amid cautious optimism.",0.2,0.4
2021-01-18,2021-01-24,"AAPL reported strong Q1 2021 earnings on Jan 27 (after the week ended), but during this week anticipation built. Major events: Biden inauguration on Jan 20 boosted tech optimism; Apple's App Store antitrust scrutiny continued; positive sentiment from upcoming 5G iPhone cycle and services growth. No major company-specific news, but market rotated into tech amid stimulus hopes.",0.4,0.3
2021-01-25,2021-01-31,"AAPL reported strong Q1 2021 earnings on Jan 27, beating revenue and EPS estimates, driven by iPhone 12 sales and services growth. However, the stock declined later in the week amid a broader market sell-off fueled by retail trading frenzy (GameStop short squeeze) and concerns over frothy valuations. Macroeconomic factors included uncertainty around new COVID-19 variants and stimulus delays.",-0.2,0.7
2021-02-01,2021-02-07,"AAPL's stock price was influenced by the broader market's recovery from the GameStop short squeeze volatility, positive sentiment around strong Q1 2021 earnings reported on Jan 27 (record revenue of $111.4B), and continued optimism about iPhone 12 demand and services growth. Macro factors included progress on U.S. COVID-19 vaccine rollout and stimulus talks, which supported tech stocks.",0.6,0.3
2021-02-08,2021-02-14,"AAPL stock was influenced by ongoing COVID-19 recovery optimism, a broader tech rally, and reports of Apple's potential entry into the electric vehicle market. No major company-specific earnings or product launches occurred, but positive sentiment from stimulus expectations and vaccine rollouts supported the market.",0.3,0.4
2021-02-15,2021-02-21,"During this week, AAPL was influenced by broader macroeconomic concerns over rising bond yields and inflation expectations, which pressured growth stocks. Company-specific events included ongoing reports of Apple's potential entry into the electric vehicle market and continued strong iPhone 12 demand, but no major earnings or product announcements. The overall market sentiment was cautious due to rising Treasury yields, leading to a slight pullback in tech stocks.",-0.2,0.6
2021-02-22,2021-02-28,"AAPL's stock price declined during the week, pressured by a broad tech sell-off driven by rising bond yields and inflation fears. Company-specific events included ongoing antitrust scrutiny and reports of production cuts for the iPhone 12 mini due to weak demand. No major positive catalysts emerged.",-0.4,0.6
2021-03-01,2021-03-07,"AAPL stock was relatively stable during the first week of March 2021. Major company-specific events included ongoing reports of strong iPhone 12 demand and supply chain constraints, while macroeconomic factors such as rising U.S. Treasury yields and inflation concerns weighed on tech stocks broadly. No major product announcements or earnings releases occurred this week.",-0.2,0.6
2021-03-08,2021-03-14,"AAPL stock was influenced by a broader tech sell-off due to rising bond yields and inflation fears. No major company-specific events occurred, but the market rotated away from growth stocks. The $1.9 trillion stimulus bill was signed into law on March 11, providing some support, but tech remained under pressure.",-0.3,0.6
2021-03-15,2021-03-21,"AAPL's week was influenced by ongoing rotation out of growth/tech stocks amid rising Treasury yields, with the Fed's dovish stance on March 17 providing some relief. No major company-specific events; the stock traded in a range with slight recovery late in the week.",-0.2,0.6
2021-03-22,2021-03-28,"AAPL's stock was influenced by ongoing concerns over antitrust scrutiny (e.g., Epic Games lawsuit and potential regulatory actions) and supply chain issues related to global chip shortages. Macroeconomic factors included rising U.S. Treasury yields and a mixed market sentiment amid COVID-19 vaccine rollouts and stimulus optimism. No major product announcements occurred, and the stock traded relatively flat with slight downward pressure.",-0.2,0.6
2021-03-29,2021-04-04,"AAPL stock was relatively stable during this week. Major company-specific events included ongoing reports about Apple's push into services and potential new product launches, but no major earnings or product announcements. Macroeconomic factors included continued optimism about U.S. economic recovery from COVID-19, with rising bond yields and inflation concerns weighing on growth stocks. The broader tech sector saw mixed performance as investors rotated into value stocks.",0.1,0.4
2021-04-05,2021-04-11,"AAPL stock was relatively stable during the week, with no major company-specific events. The broader market continued to rally on optimism about the economic recovery and vaccine rollout, but rising bond yields and inflation concerns kept some pressure on tech stocks. Apple's services revenue growth and upcoming product cycles provided underlying support.",0.2,0.4
2021-04-12,2021-04-18,"AAPL stock was relatively stable during the week. Major company-specific events included continued positive momentum from the iPhone 12 cycle and strong services revenue growth, though no major product announcements occurred. Macroeconomic factors included rising U.S. Treasury yields and inflation concerns, mixed retail sales data, and ongoing COVID-19 vaccine rollout progress. Overall, the market remained cautiously optimistic about tech stocks.",0.2,0.4
2021-04-19,2021-04-25,"Apple held its Spring Loaded event on April 20, unveiling new iPhones with 5G, an updated iPad Pro with M1 chip, AirTags, and a new iMac. The event was well-received, boosting investor confidence in product cycle momentum. Macroeconomic factors included continued low interest rates and optimism about economic reopening, though concerns about rising COVID-19 cases in some regions and potential tax hikes added caution. Overall, the product announcements drove positive sentiment.",0.6,0.3
2021-04-26,2021-05-02,"AAPL reported strong Q2 2021 earnings on April 28, beating revenue and EPS estimates, driven by iPhone and Services growth. The company also announced a $90 billion share buyback program and a 7% dividend increase. Macro events included mixed economic data and ongoing inflation concerns, but tech sector sentiment was buoyed by strong earnings reports.",0.7,0.3
2021-05-03,2021-05-09,"AAPL's stock was influenced by broader tech sell-off concerns, rising inflation fears, and a generally cautious market tone. No major company-specific events were reported, but the overall market sentiment was negative due to fears of the Federal Reserve tapering and rising bond yields, which pressured growth stocks.",-0.3,0.6
2021-05-10,2021-05-16,"AAPL stock was relatively stable during the week. Major company-specific events included ongoing reports of chip shortages affecting production, and continued market focus on Apple's services growth and potential product launches. Macroeconomic events included rising inflation concerns after the April CPI report showed a 4.2% year-over-year increase, which caused a broad market sell-off on May 12, impacting tech stocks including AAPL. The Federal Reserve maintained its accommodative stance, but inflation fears weighed on sentiment.",-0.2,0.6
2021-05-17,2021-05-23,"AAPL stock was relatively stable during the week. Major company-specific events included ongoing reports about Apple's push into autonomous electric vehicles and continued supply chain concerns due to global chip shortages. Macroeconomic factors included mixed U.S. retail sales data and Federal Reserve minutes reaffirming accommodative policy, which supported tech stocks. No major product announcements or earnings releases occurred.",0.1,0.3
2021-05-24,2021-05-30,"AAPL stock was relatively stable during this week. Major company-specific events included ongoing reports of chip shortages affecting production, but no major product announcements. Macroeconomic events included strong U.S. economic data and continued optimism about reopening, which supported tech stocks broadly. The market sentiment was cautiously positive, with low volatility.",0.2,0.3
2021-05-31,2021-06-06,"During this week, Apple's stock was influenced by the ongoing global chip shortage, which raised concerns about production delays for iPhones and iPads. Additionally, the company faced a lawsuit from a group of UK developers over App Store commission fees, adding regulatory pressure. On the macroeconomic side, strong U.S. jobs data for May (adding 559,000 jobs) boosted market confidence, but inflation fears persisted. Overall, mixed signals led to a neutral to slightly bearish sentiment.",-0.1,0.5
2021-06-07,2021-06-13,"AAPL stock was relatively stable during the week. Major company-specific events included the WWDC 2021 keynote on June 7, where Apple announced iOS 15, macOS Monterey, and other software updates, but no major hardware releases, which was seen as slightly disappointing. Macroeconomic factors included ongoing inflation concerns and mixed signals from the Federal Reserve regarding tapering, which kept tech stocks under pressure. Overall, the market sentiment was cautious but not overly negative.",0.1,0.4
2021-06-14,2021-06-20,"During the week of June 14-18, 2021, Apple's stock (AAPL) was influenced by a mix of company-specific and macroeconomic events. Company-specific: Apple's WWDC 2021 (held June 7-11) continued to resonate, with announcements of iOS 15, iPadOS 15, and privacy features, but no major new product launches. Reports emerged of Apple's push into augmented reality and potential Apple Car developments, though no concrete news. Macroeconomic: The Federal Reserve's June 16 FOMC meeting surprised markets with a hawkish tilt, projecting two interest rate hikes by end of 2023 (earlier than expected) and raising inflation forecasts. This triggered a broad tech sell-off, with growth stocks like Apple under pressure due to rising rate expectations. Additionally, U.S. jobless claims data showed improvement, but inflation concerns persisted. Overall, AAPL fell about 2.5% for the week, reflecting the macro-driven risk-off sentiment.",-0.3,0.6
2021-06-21,2021-06-27,"AAPL's stock price was influenced by a broader tech rally and positive market sentiment as inflation fears eased. Company-specific events included reports of Apple's push into autonomous vehicle technology and ongoing antitrust scrutiny, but no major earnings or product announcements. Macroeconomic factors included dovish Fed commentary and strong economic data, supporting risk appetite.",0.4,0.3
2021-06-28,2021-07-04,"AAPL's stock price was relatively stable during this week. Major company-specific events included ongoing reports of Apple's push into autonomous vehicle technology and continued strong iPhone demand. Macroeconomic factors included a mixed jobs report showing strong payroll gains but rising unemployment, and concerns about inflation and potential Fed tapering. Overall, the market was in a consolidation phase with no major catalysts.",0.1,0.4
2021-07-05,2021-07-11,"AAPL stock was relatively stable during the week. Major company-specific events included continued focus on the App Store antitrust issues and reports of supply chain constraints for iPhone production. Macroeconomic events included concerns over rising COVID-19 Delta variant cases and mixed economic data on jobless claims and manufacturing. Overall, no major catalysts drove significant price movement.",0.1,0.4
2021-07-12,2021-07-18,"AAPL's stock was influenced by ongoing concerns over chip shortages affecting production, mixed macroeconomic data on inflation and consumer spending, and a generally positive tech sector sentiment as earnings season approached. No major company-specific announcements were made, but the stock moved with the broader market.",0.1,0.4
2021-07-19,2021-07-25,AAPL's stock price was influenced by a broader tech sell-off on July 19 due to rising COVID-19 Delta variant concerns and mixed earnings expectations. Company-specific events included reports of Apple's push into health features and potential supply chain constraints. The week ended with a slight recovery as markets stabilized.,-0.2,0.4
2021-07-26,2021-08-01,"AAPL reported strong Q3 2021 earnings on July 27, beating revenue and EPS estimates, driven by iPhone and Services growth. The company also announced a $90 billion share buyback and raised dividend. Macro events included Fed's dovish stance and mixed economic data, but overall positive earnings sentiment dominated.",0.7,0.3
2021-08-02,2021-08-08,"AAPL stock was relatively stable during the week. Major company-specific events included continued strong iPhone demand and services growth, with no major product announcements. Macroeconomic factors included positive U.S. jobs data (non-farm payrolls beat expectations on Aug 6) and ongoing concerns about the Delta variant's impact on economic recovery. Overall, the market showed cautious optimism.",0.2,0.3
2021-08-09,2021-08-15,"AAPL stock was relatively stable during this week. Major company-specific events included continued strong performance from services and iPhone sales, with no major product announcements. Macroeconomic factors included mixed economic data, concerns over Delta variant spread, and anticipation of Fed tapering signals. Overall, market sentiment was cautiously optimistic with low volatility.",0.2,0.3
2021-08-16,2021-08-22,"AAPL stock was relatively stable during the week, with no major company-specific events. The broader market was influenced by concerns over the Delta variant and potential Fed tapering, but tech stocks held up. AAPL's price was supported by ongoing strong earnings momentum and anticipation of the iPhone 13 launch.",0.2,0.3
2021-08-23,2021-08-29,"AAPL rose during the week, supported by broad market optimism and anticipation of the iPhone 13 launch in September. No major company-specific negative news; the stock benefited from a general risk-on sentiment as the Fed signaled a cautious approach to tapering. The S&P 500 and Nasdaq hit new highs, lifting tech stocks.",0.7,0.3
2021-08-30,2021-09-05,"AAPL's stock price was influenced by a court ruling in the Epic Games antitrust case, which required Apple to allow alternative in-app payment options, potentially impacting its App Store revenue. Additionally, reports of Apple's upcoming iPhone 13 launch and strong demand for its services segment provided some positive sentiment. Macroeconomic factors included mixed U.S. jobs data and concerns over the Delta variant's impact on economic recovery.",0.1,0.4
2021-09-06,2021-09-12,"AAPL stock was relatively stable during the week. Major company-specific events included ongoing antitrust scrutiny from the Epic Games trial and reports of iPhone 13 production delays due to supply chain constraints. Macroeconomic events included concerns over the Delta variant's impact on economic recovery and mixed jobs data, but overall market sentiment was supported by expectations of continued accommodative Fed policy.",0.1,0.4
