month,summary,sentiment_score,risk_score
2023-10,"AAPL stock in October 2023 was affected by mixed Q4 earnings (revenue miss, but services growth and strong iPhone demand), ongoing macroeconomic concerns about rising interest rates and inflation, and geopolitical tensions from the Israel-Hamas conflict. Additionally, reports of weak iPhone 15 sales in China and regulatory scrutiny over App Store policies added pressure.",-0.2,0.6
2023-11,"AAPL reported Q4 earnings on Nov 2, beating EPS estimates but missing revenue expectations, with a slight decline in iPhone sales. The company guided for a modest holiday quarter. Macro events included a dovish Fed pause and falling bond yields, which boosted tech stocks. Positive sentiment from easing inflation data and potential rate cuts offset revenue concerns.",0.3,0.4
2023-12,"AAPL stock in December 2023 was influenced by company-specific events including a patent dispute with Masimo leading to a ban on Apple Watch Series 9 and Ultra 2 sales in the US, and a subsequent temporary halt of the ban by a federal appeals court. Macroeconomic factors included a dovish pivot by the Federal Reserve in mid-December, signaling potential rate cuts in 2024, which boosted tech stocks broadly. Overall, the stock experienced volatility but ended the month slightly positive.",0.1,0.6
2024-01,"AAPL faced headwinds from a Barclays downgrade citing weak iPhone demand, particularly in China, and a regulatory risk from the DOJ antitrust probe. Macro factors included mixed economic data and rising Treasury yields, which pressured tech stocks. The stock declined about 3% in January.",-0.3,0.6
2024-02,"In February 2024, Apple reported Q1 2024 earnings on Feb 1, beating EPS estimates but showing a slight decline in iPhone revenue and a significant drop in China sales. The stock initially fell but recovered as services revenue grew. Macro events included Fed rate cut expectations and mixed economic data, with inflation concerns persisting. Overall, the market showed cautious optimism.",0.2,0.4
2024-03,"In March 2024, AAPL faced headwinds from a DOJ antitrust lawsuit filed on March 21 alleging monopolistic practices in the smartphone market, which pressured the stock. Additionally, iPhone sales in China declined amid rising competition from Huawei and other local brands. On the positive side, the company announced a new AI strategy and a potential partnership with Google for Gemini AI integration, which buoyed sentiment. Macroeconomic factors included mixed inflation data and Fed rate cut expectations, contributing to overall market volatility.",-0.2,0.6
2024-04,"In April 2024, Apple's stock faced headwinds from a Bloomberg report of a 10% decline in iPhone shipments in China, ongoing antitrust scrutiny from the DOJ, and broader macroeconomic concerns about persistent inflation and delayed Fed rate cuts. Positive sentiment was limited to buyback announcements and steady services revenue growth.",-0.3,0.6
2024-05,"AAPL reported Q2 earnings on May 2, beating EPS estimates but revenue fell 4% YoY, with iPhone sales down 10%. The company announced a record $110 billion share buyback, boosting sentiment. Macro headwinds included persistent inflation and delayed Fed rate cut expectations, while China demand concerns lingered.",0.3,0.4
2024-06,"In June 2024, Apple's stock was influenced by the WWDC 2024 event where the company unveiled its AI strategy, including 'Apple Intelligence' and a partnership with OpenAI for ChatGPT integration, which was seen as a positive catalyst. However, regulatory pressures from the EU's Digital Markets Act and a slight miss in iPhone sales forecasts added caution. Macroeconomic factors included mixed U.S. jobs data and persistent inflation concerns, which kept interest rate uncertainty high.",0.3,0.5
2024-07,"In July 2024, Apple's stock was influenced by mixed Q3 earnings results (revenue slightly above expectations but iPhone sales down 1% YoY), strong Services revenue growth, and a cautious outlook amid macroeconomic uncertainty. Macro events included Fed rate cut expectations, cooling inflation data, and geopolitical tensions. Positive sentiment from AI integration announcements was offset by concerns over China demand and regulatory risks.",0.2,0.4
2024-08,"Apple reported strong Q3 earnings on August 1, beating estimates with revenue of $85.8B and EPS of $1.40, driven by Services growth and iPhone sales. However, guidance for Q4 was cautious amid macroeconomic uncertainty and China slowdown. The stock also faced pressure from a broader market sell-off in early August due to weak US jobs data and yen carry trade unwinding, but recovered later in the month on Fed rate cut expectations.",0.3,0.5
2024-09,"In September 2024, Apple's stock was influenced by the launch of the iPhone 16 series and new Apple Watch models, with initial demand concerns and mixed reviews. Macroeconomic factors included the Federal Reserve's first rate cut in four years (50 bps) in mid-September, which boosted tech stocks broadly, but ongoing geopolitical tensions and uncertainty about China's economy weighed on sentiment. Additionally, a European court ruling on Apple's tax case required the company to pay €13 billion in back taxes, creating a negative headline.",-0.1,0.4
2024-10,"AAPL faced headwinds from a broader tech sell-off amid rising Treasury yields and geopolitical tensions in the Middle East. Company-specific events included reports of weaker iPhone 16 demand in China and a downgrade by a major analyst. Positive factors were strong services revenue growth and a new AI feature rollout. Overall, the stock declined about 4% in October.",-0.3,0.5
2024-11,"AAPL stock in November 2024 was influenced by strong iPhone 16 sales and services revenue growth, offset by regulatory concerns in Europe and China, and mixed macroeconomic data including Fed rate cut expectations and consumer spending trends.",0.3,0.4
2024-12,"In December 2024, Apple faced mixed events: strong holiday sales and AI feature rollouts boosted sentiment, but regulatory pressures from the EU's Digital Markets Act and a broader tech sell-off due to Fed rate hike concerns increased volatility. The stock experienced modest gains overall.",0.2,0.6
